Codigo linea;Descripcion linea;Codigo parada;Parada;Tiempo espera
01;ARANGOITI - PLAZA BIRIBILA;1306;PLAZA BIRIBILA;35
01;ARANGOITI - PLAZA BIRIBILA;1401;ARANGOITI-BUENAVISTA;17
01;ARANGOITI - PLAZA BIRIBILA;1411;ARANGOITI-BUENAVISTA;15
01;ARANGOITI - PLAZA BIRIBILA;1413;PLAZA BIRIBILA;40
01;ARANGOITI - PLAZA BIRIBILA;1414;PLAZA BIRIBILA;38
01;ARANGOITI - PLAZA BIRIBILA;1415;ARANGOITI-BUENAVISTA;13
01;ARANGOITI - PLAZA BIRIBILA;1423;ARANGOITI-BUENAVISTA;10
01;ARANGOITI - PLAZA BIRIBILA;1424;PLAZA BIRIBILA;42
01;ARANGOITI - PLAZA BIRIBILA;1425;ARANGOITI-BUENAVISTA;9
01;ARANGOITI - PLAZA BIRIBILA;1601;ARANGOITI-BUENAVISTA;1
01;ARANGOITI - PLAZA BIRIBILA;1603;ARANGOITI-BUENAVISTA;19
01;ARANGOITI - PLAZA BIRIBILA;1604;PLAZA BIRIBILA;0
01;ARANGOITI - PLAZA BIRIBILA;1605;PLAZA BIRIBILA;32
01;ARANGOITI - PLAZA BIRIBILA;1701;ARANGOITI-BUENAVISTA;16
01;ARANGOITI - PLAZA BIRIBILA;1702;PLAZA BIRIBILA;34
01;ARANGOITI - PLAZA BIRIBILA;1703;PLAZA BIRIBILA;34
01;ARANGOITI - PLAZA BIRIBILA;6107;PLAZA BIRIBILA;44
01;ARANGOITI - PLAZA BIRIBILA;6109;PLAZA BIRIBILA;45
01;ARANGOITI - PLAZA BIRIBILA;6110;ARANGOITI-BUENAVISTA;4
01;ARANGOITI - PLAZA BIRIBILA;6113;PLAZA BIRIBILA;51
01;ARANGOITI - PLAZA BIRIBILA;6114;ARANGOITI-BUENAVISTA;2
01;ARANGOITI - PLAZA BIRIBILA;6115;PLAZA BIRIBILA;49
01;ARANGOITI - PLAZA BIRIBILA;6125;ARANGOITI-BUENAVISTA;6
01;ARANGOITI - PLAZA BIRIBILA;6130;ARANGOITI-BUENAVISTA;59
01;ARANGOITI - PLAZA BIRIBILA;6204;ARANGOITI-BUENAVISTA;7
01;ARANGOITI - PLAZA BIRIBILA;6219;PLAZA BIRIBILA;47
03; PLAZA BIRIBILA - OTXARKOAGA;2202;PLAZA BIRIBILA;6
03; PLAZA BIRIBILA - OTXARKOAGA;2415;PLAZA BIRIBILA;5
03; PLAZA BIRIBILA - OTXARKOAGA;2509;PLAZA BIRIBILA;1
03; PLAZA BIRIBILA - OTXARKOAGA;3101;PLAZA BIRIBILA;0
03; PLAZA BIRIBILA - OTXARKOAGA;3103;PLAZA BIRIBILA;2
03; PLAZA BIRIBILA - OTXARKOAGA;3106;PLAZA BIRIBILA;1
03; PLAZA BIRIBILA - OTXARKOAGA;3108;PLAZA BIRIBILA;4
03; PLAZA BIRIBILA - OTXARKOAGA;3115;OTXARKOAGA;7
03; PLAZA BIRIBILA - OTXARKOAGA;3116;OTXARKOAGA;8
03; PLAZA BIRIBILA - OTXARKOAGA;3204;OTXARKOAGA;6
03; PLAZA BIRIBILA - OTXARKOAGA;3210;PLAZA BIRIBILA;5
03; PLAZA BIRIBILA - OTXARKOAGA;3211;OTXARKOAGA;4
03; PLAZA BIRIBILA - OTXARKOAGA;3213;OTXARKOAGA;5
03; PLAZA BIRIBILA - OTXARKOAGA;3214;PLAZA BIRIBILA;7
03; PLAZA BIRIBILA - OTXARKOAGA;3230;PLAZA BIRIBILA;0
03; PLAZA BIRIBILA - OTXARKOAGA;4104;OTXARKOAGA;2
03; PLAZA BIRIBILA - OTXARKOAGA;4109;OTXARKOAGA;1
03; PLAZA BIRIBILA - OTXARKOAGA;5103;OTXARKOAGA;6
03; PLAZA BIRIBILA - OTXARKOAGA;5105;PLAZA BIRIBILA;0
03; PLAZA BIRIBILA - OTXARKOAGA;5108;PLAZA BIRIBILA;7
03; PLAZA BIRIBILA - OTXARKOAGA;5111;OTXARKOAGA;0
03; PLAZA BIRIBILA - OTXARKOAGA;6126;OTXARKOAGA;4
10;ELORRIETA - PLAZA BIRIBILA;1101;PLAZA BIRIBILA;5
10;ELORRIETA - PLAZA BIRIBILA;1102;ELORRIETA;14
10;ELORRIETA - PLAZA BIRIBILA;1103;PLAZA BIRIBILA;4
10;ELORRIETA - PLAZA BIRIBILA;1104;ELORRIETA;0
10;ELORRIETA - PLAZA BIRIBILA;1105;PLAZA BIRIBILA;3
10;ELORRIETA - PLAZA BIRIBILA;1201;PLAZA BIRIBILA;14
10;ELORRIETA - PLAZA BIRIBILA;1301;ELORRIETA;12
10;ELORRIETA - PLAZA BIRIBILA;1302;ELORRIETA;11
10;ELORRIETA - PLAZA BIRIBILA;1303;PLAZA BIRIBILA;7
10;ELORRIETA - PLAZA BIRIBILA;1304;ELORRIETA;13
10;ELORRIETA - PLAZA BIRIBILA;1305;PLAZA BIRIBILA;8
10;ELORRIETA - PLAZA BIRIBILA;1412;PLAZA BIRIBILA;10
10;ELORRIETA - PLAZA BIRIBILA;1413;PLAZA BIRIBILA;0
10;ELORRIETA - PLAZA BIRIBILA;1414;PLAZA BIRIBILA;11
10;ELORRIETA - PLAZA BIRIBILA;1415;ELORRIETA;9
10;ELORRIETA - PLAZA BIRIBILA;1423;ELORRIETA;8
10;ELORRIETA - PLAZA BIRIBILA;1424;PLAZA BIRIBILA;2
10;ELORRIETA - PLAZA BIRIBILA;1425;ELORRIETA;6
10;ELORRIETA - PLAZA BIRIBILA;6107;PLAZA BIRIBILA;4
10;ELORRIETA - PLAZA BIRIBILA;6109;PLAZA BIRIBILA;5
10;ELORRIETA - PLAZA BIRIBILA;6110;ELORRIETA;1
10;ELORRIETA - PLAZA BIRIBILA;6113;PLAZA BIRIBILA;10
10;ELORRIETA - PLAZA BIRIBILA;6114;ELORRIETA;0
10;ELORRIETA - PLAZA BIRIBILA;6115;PLAZA BIRIBILA;8
10;ELORRIETA - PLAZA BIRIBILA;6125;ELORRIETA;4
10;ELORRIETA - PLAZA BIRIBILA;6130;ELORRIETA;12
10;ELORRIETA - PLAZA BIRIBILA;6204;ELORRIETA;5
10;ELORRIETA - PLAZA BIRIBILA;6219;PLAZA BIRIBILA;7
11;DEUSTU - ATXURI;1402;DEUSTU;1
11;DEUSTU - ATXURI;1403;DEUSTU;2
11;DEUSTU - ATXURI;1404;ATXURI;22
11;DEUSTU - ATXURI;1405;ATXURI;0
11;DEUSTU - ATXURI;1407;DEUSTU;29
11;DEUSTU - ATXURI;1408;DEUSTU;28
11;DEUSTU - ATXURI;1414;ATXURI;17
11;DEUSTU - ATXURI;1416;ATXURI;19
11;DEUSTU - ATXURI;1417;ATXURI;20
11;DEUSTU - ATXURI;1418;DEUSTU;5
11;DEUSTU - ATXURI;1419;DEUSTU;5
11;DEUSTU - ATXURI;1420;ATXURI;14
11;DEUSTU - ATXURI;1421;ATXURI;15
11;DEUSTU - ATXURI;1426;ATXURI;25
11;DEUSTU - ATXURI;1427;DEUSTU;27
11;DEUSTU - ATXURI;1428;ATXURI;16
11;DEUSTU - ATXURI;1506;ZORROTZAURRE;0
11;DEUSTU - ATXURI;1507;ZORROTZAURRE;0
11;DEUSTU - ATXURI;1508;ZORROTZAURRE;0
11;DEUSTU - ATXURI;1509;ZORROTZAURRE;--
11;DEUSTU - ATXURI;1510;ZORROTZAURRE;0
11;DEUSTU - ATXURI;1514;ZORROTZAURRE;--
11;DEUSTU - ATXURI;1515;ZORROTZAURRE;0
11;DEUSTU - ATXURI;2101;ATXURI;28
11;DEUSTU - ATXURI;2102;ATXURI;0
11;DEUSTU - ATXURI;2103;DEUSTU;26
11;DEUSTU - ATXURI;2105;DEUSTU;24
11;DEUSTU - ATXURI;2108;DEUSTU;22
11;DEUSTU - ATXURI;2109;ATXURI;26
11;DEUSTU - ATXURI;5101;ATXURI;3
11;DEUSTU - ATXURI;5106;DEUSTU;16
11;DEUSTU - ATXURI;5108;ATXURI;2
11;DEUSTU - ATXURI;5110;DEUSTU;20
11;DEUSTU - ATXURI;5405;DEUSTU;14
11;DEUSTU - ATXURI;5601;ATXURI;8
11;DEUSTU - ATXURI;5701;ATXURI;7
11;DEUSTU - ATXURI;5704;ATXURI;6
13;SAN IGNAZIO - TXURDINAGA;1101;TXURDINAGA;2
13;SAN IGNAZIO - TXURDINAGA;1102;SAN IGNAZIO;3
13;SAN IGNAZIO - TXURDINAGA;1103;TXURDINAGA;0
13;SAN IGNAZIO - TXURDINAGA;1104;SAN IGNAZIO;4
13;SAN IGNAZIO - TXURDINAGA;1105;TXURDINAGA;14
13;SAN IGNAZIO - TXURDINAGA;1301;SAN IGNAZIO;2
13;SAN IGNAZIO - TXURDINAGA;1302;SAN IGNAZIO;1
13;SAN IGNAZIO - TXURDINAGA;1303;TXURDINAGA;3
13;SAN IGNAZIO - TXURDINAGA;1304;SAN IGNAZIO;3
13;SAN IGNAZIO - TXURDINAGA;1305;TXURDINAGA;5
13;SAN IGNAZIO - TXURDINAGA;1412;TXURDINAGA;6
13;SAN IGNAZIO - TXURDINAGA;1413;TXURDINAGA;8
13;SAN IGNAZIO - TXURDINAGA;1414;TXURDINAGA;7
13;SAN IGNAZIO - TXURDINAGA;1415;SAN IGNAZIO;13
13;SAN IGNAZIO - TXURDINAGA;1423;SAN IGNAZIO;11
13;SAN IGNAZIO - TXURDINAGA;1424;TXURDINAGA;11
13;SAN IGNAZIO - TXURDINAGA;1425;SAN IGNAZIO;9
13;SAN IGNAZIO - TXURDINAGA;2301;SAN IGNAZIO;0
13;SAN IGNAZIO - TXURDINAGA;2403;TXURDINAGA;10
13;SAN IGNAZIO - TXURDINAGA;2404;SAN IGNAZIO;13
13;SAN IGNAZIO - TXURDINAGA;2405;SAN IGNAZIO;10
13;SAN IGNAZIO - TXURDINAGA;2406;TXURDINAGA;11
13;SAN IGNAZIO - TXURDINAGA;2407;TXURDINAGA;0
13;SAN IGNAZIO - TXURDINAGA;2503;SAN IGNAZIO;8
13;SAN IGNAZIO - TXURDINAGA;2504;SAN IGNAZIO;6
13;SAN IGNAZIO - TXURDINAGA;2508;SAN IGNAZIO;7
13;SAN IGNAZIO - TXURDINAGA;3201;SAN IGNAZIO;2
13;SAN IGNAZIO - TXURDINAGA;3217;TXURDINAGA;14
13;SAN IGNAZIO - TXURDINAGA;3220;TXURDINAGA;0
13;SAN IGNAZIO - TXURDINAGA;3223;SAN IGNAZIO;1
13;SAN IGNAZIO - TXURDINAGA;3228;SAN IGNAZIO;4
13;SAN IGNAZIO - TXURDINAGA;3229;SAN IGNAZIO;5
13;SAN IGNAZIO - TXURDINAGA;4105;TXURDINAGA;4
13;SAN IGNAZIO - TXURDINAGA;4109;TXURDINAGA;2
13;SAN IGNAZIO - TXURDINAGA;4202;TXURDINAGA;7
13;SAN IGNAZIO - TXURDINAGA;4207;TXURDINAGA;8
13;SAN IGNAZIO - TXURDINAGA;4214;TXURDINAGA;4
13;SAN IGNAZIO - TXURDINAGA;4302;TXURDINAGA;12
13;SAN IGNAZIO - TXURDINAGA;4303;TXURDINAGA;12
13;SAN IGNAZIO - TXURDINAGA;4304;TXURDINAGA;10
13;SAN IGNAZIO - TXURDINAGA;6101;TXURDINAGA;7
13;SAN IGNAZIO - TXURDINAGA;6102;SAN IGNAZIO;2
13;SAN IGNAZIO - TXURDINAGA;6103;TXURDINAGA;5
13;SAN IGNAZIO - TXURDINAGA;6107;TXURDINAGA;12
13;SAN IGNAZIO - TXURDINAGA;6109;TXURDINAGA;0
13;SAN IGNAZIO - TXURDINAGA;6110;SAN IGNAZIO;5
13;SAN IGNAZIO - TXURDINAGA;6125;SAN IGNAZIO;7
13;SAN IGNAZIO - TXURDINAGA;6204;SAN IGNAZIO;8
13;SAN IGNAZIO - TXURDINAGA;6219;TXURDINAGA;3
18;SAN IGNAZIO - ZORROTZA;1101;ZORROTZA;11
18;SAN IGNAZIO - ZORROTZA;1102;SAN IGNAZIO;16
18;SAN IGNAZIO - ZORROTZA;1103;ZORROTZA;10
18;SAN IGNAZIO - ZORROTZA;1104;SAN IGNAZIO;17
18;SAN IGNAZIO - ZORROTZA;1105;ZORROTZA;9
18;SAN IGNAZIO - ZORROTZA;1301;SAN IGNAZIO;14
18;SAN IGNAZIO - ZORROTZA;1302;SAN IGNAZIO;12
18;SAN IGNAZIO - ZORROTZA;1303;ZORROTZA;12
18;SAN IGNAZIO - ZORROTZA;1304;SAN IGNAZIO;15
18;SAN IGNAZIO - ZORROTZA;1305;ZORROTZA;14
18;SAN IGNAZIO - ZORROTZA;1412;ZORROTZA;15
18;SAN IGNAZIO - ZORROTZA;1413;ZORROTZA;18
18;SAN IGNAZIO - ZORROTZA;1414;ZORROTZA;16
18;SAN IGNAZIO - ZORROTZA;1415;SAN IGNAZIO;11
18;SAN IGNAZIO - ZORROTZA;1423;SAN IGNAZIO;9
18;SAN IGNAZIO - ZORROTZA;1424;ZORROTZA;1
18;SAN IGNAZIO - ZORROTZA;1425;SAN IGNAZIO;8
18;SAN IGNAZIO - ZORROTZA;6107;ZORROTZA;3
18;SAN IGNAZIO - ZORROTZA;6109;ZORROTZA;4
18;SAN IGNAZIO - ZORROTZA;6111;ZORROTZA;8
18;SAN IGNAZIO - ZORROTZA;6112;ZORROTZA;10
18;SAN IGNAZIO - ZORROTZA;6125;SAN IGNAZIO;5
18;SAN IGNAZIO - ZORROTZA;6202;ZORROTZA;12
18;SAN IGNAZIO - ZORROTZA;6203;ZORROTZA;14
18;SAN IGNAZIO - ZORROTZA;6204;SAN IGNAZIO;7
18;SAN IGNAZIO - ZORROTZA;6215;SAN IGNAZIO;2
18;SAN IGNAZIO - ZORROTZA;6216;SAN IGNAZIO;3
18;SAN IGNAZIO - ZORROTZA;6219;ZORROTZA;7
