service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
99348,0,0,0,0,0,0,1,20140506,20151231
99349,0,0,0,0,0,0,1,20140506,20151231
99350,0,0,0,0,0,0,1,20140506,20151231
99351,0,0,0,0,0,0,1,20140506,20151231
99352,1,1,1,1,1,1,0,20140506,20151231
99353,0,0,0,0,0,0,1,20140506,20151231
99356,1,1,1,1,1,1,0,20140506,20151231
99357,0,0,0,0,0,0,1,20140506,20151231
99358,1,1,1,1,1,1,0,20140506,20151231
99359,0,0,0,0,0,0,1,20140506,20151231
99360,1,1,1,1,1,1,0,20140506,20151231
99361,0,0,0,0,0,0,1,20140506,20151231
99362,1,1,1,1,1,1,0,20140506,20151231
99363,0,0,0,0,0,0,1,20140506,20151231
99366,1,1,1,1,1,1,0,20140506,20151231
99367,1,1,1,1,1,1,0,20140506,20151231
99368,1,1,1,1,1,1,0,20140506,20151231
99369,1,1,1,1,1,1,0,20140506,20151231
99370,1,1,1,1,1,1,0,20140506,20151231
99371,1,1,1,1,1,1,0,20140506,20151231
99372,1,1,1,1,1,1,0,20140506,20151231
99373,1,1,1,1,1,1,0,20140506,20151231
99374,1,1,1,1,1,1,0,20140506,20151231
99375,1,1,1,1,1,1,0,20140506,20151231
99376,1,1,1,1,1,1,0,20140506,20151231
99377,1,1,1,1,1,1,0,20140506,20151231
99378,1,1,1,1,1,1,0,20140506,20151231
99379,1,1,1,1,1,1,0,20140506,20151231
99380,1,1,1,1,1,1,0,20140506,20151231
99381,1,1,1,1,1,1,0,20140506,20151231
99382,1,1,1,1,1,1,0,20140506,20151231
99383,1,1,1,1,1,1,0,20140506,20151231
99384,1,1,1,1,1,1,0,20140506,20151231
99385,1,1,1,1,1,1,0,20140506,20151231
99386,1,1,1,1,1,1,0,20140506,20151231
99387,1,1,1,1,1,1,0,20140506,20151231
99388,1,1,1,1,1,1,0,20140506,20151231
99389,1,1,1,1,1,1,0,20140506,20151231
99390,1,1,1,1,1,1,0,20140506,20151231
99391,1,1,1,1,1,1,0,20140506,20151231
99392,1,1,1,1,1,1,0,20140506,20151231
99393,1,1,1,1,1,1,0,20140506,20151231
99394,1,1,1,1,1,1,0,20140506,20151231
99395,1,1,1,1,1,1,0,20140506,20151231
99396,1,1,1,1,1,1,0,20140506,20151231
99397,1,1,1,1,1,1,0,20140506,20151231
99398,1,1,1,1,1,1,0,20140506,20151231
99399,1,1,1,1,1,1,0,20140506,20151231
99400,1,1,1,1,1,1,0,20140506,20151231
99401,1,1,1,1,1,1,0,20140506,20151231
99402,0,0,0,0,0,0,1,20140506,20151231
99403,0,0,0,0,0,0,1,20140506,20151231
99404,0,0,0,0,0,0,1,20140506,20151231
99405,0,0,0,0,0,0,1,20140506,20151231
99406,0,0,0,0,0,0,1,20140506,20151231
99407,0,0,0,0,0,0,1,20140506,20151231
99408,0,0,0,0,0,0,1,20140506,20151231
99409,0,0,0,0,0,0,1,20140506,20151231
99410,0,0,0,0,0,0,1,20140506,20151231
99411,0,0,0,0,0,0,1,20140506,20151231
99412,0,0,0,0,0,0,1,20140506,20151231
99413,0,0,0,0,0,0,1,20140506,20151231
99414,0,0,0,0,0,0,1,20140506,20151231
99415,0,0,0,0,0,0,1,20140506,20151231
99416,0,0,0,0,0,0,1,20140506,20151231
99417,0,0,0,0,0,0,1,20140506,20151231
99418,0,0,0,0,0,0,1,20140506,20151231
99419,1,1,1,1,1,0,0,20140506,20151231
99420,1,1,1,1,1,0,0,20140506,20151231
99421,1,1,1,1,1,0,0,20140506,20151231
99422,1,1,1,1,1,0,0,20140506,20151231
99423,1,1,1,1,1,0,0,20140506,20151231
99424,0,0,0,0,0,1,1,20140506,20151231
99425,0,0,0,0,0,1,1,20140506,20151231
99426,0,0,0,0,0,0,1,20140506,20151231
99427,0,0,0,0,0,0,1,20140506,20151231
99428,0,0,0,0,0,0,1,20140506,20151231
99429,1,1,1,1,1,1,0,20140506,20151231
99430,0,0,0,0,0,0,1,20140506,20151231
99431,0,0,0,0,0,0,1,20140506,20151231
99432,0,0,0,0,0,0,1,20140506,20151231
99433,1,1,1,1,1,0,0,20140506,20151231
99434,0,0,0,0,0,1,1,20140506,20151231
99436,1,1,1,1,1,0,0,20140506,20151231
99437,0,0,0,0,0,1,1,20140506,20151231
99438,1,1,1,1,1,0,0,20140506,20151231
99488,0,0,0,0,0,0,1,20140506,20151231
99489,1,1,1,1,1,1,0,20140506,20151231
99490,0,0,0,0,0,0,1,20140506,20151231
99491,1,1,1,1,1,1,0,20140506,20151231
99494,0,0,0,0,0,0,1,20140506,20151231
