service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1587,1,1,1,1,0,0,0,20140701,20140904
1588,0,0,0,0,1,0,0,20140704,20140905
1589,0,0,0,0,0,1,0,20140705,20140906
1590,0,0,0,0,0,0,1,20140706,20140907
1591,0,0,0,0,1,0,0,20140725,20140815
1592,0,0,0,1,0,0,0,20140731,20140731
1604,1,1,1,1,1,0,1,20140622,20140905
1605,0,0,0,0,0,1,0,20140628,20140906
1606,0,0,0,0,0,0,1,20140629,20140907
1608,0,0,0,1,1,0,0,20140725,20140815
1618,1,1,1,1,1,0,0,20140623,20140905
1622,0,0,0,0,0,1,1,20140104,20150621
1623,0,1,0,0,1,1,0,20140103,20150620
1624,0,0,0,1,1,0,0,20140102,20150619
1625,1,1,1,1,0,0,1,20140105,20150618
1626,0,0,0,1,1,0,0,20140403,20150501
1627,1,1,1,1,0,0,1,20140101,20150406
1629,0,0,0,1,0,0,1,20140112,20150621
1630,1,1,1,1,1,0,0,20140107,20150619
1631,0,0,1,0,0,1,0,20140111,20150620
1632,1,1,0,1,1,1,0,20140106,20150501
1634,1,1,1,1,0,0,0,20140908,20141231
1635,0,0,0,0,1,0,0,20140912,20141226
1702,0,0,0,0,0,0,1,20150628,20150906
1703,0,0,0,0,1,0,0,20150731,20150731
1704,1,1,1,1,1,0,0,20150622,20150904
1705,0,0,0,0,0,1,0,20150627,20150905
1716,1,1,1,1,0,0,0,20150622,20150630
1718,0,0,0,0,0,1,0,20150627,20150627
1719,0,0,0,0,1,0,0,20150626,20150626
1722,0,0,0,0,0,0,1,20150628,20150628
1752,0,0,0,0,0,0,1,20150705,20150906
1753,0,0,0,0,0,1,0,20150704,20150905
1755,0,0,0,0,1,0,0,20150731,20150731
1758,1,1,1,1,0,0,0,20150701,20150903
1759,0,0,0,0,1,0,0,20150703,20150904
1761,0,0,0,0,0,0,1,20150913,20151227
1762,1,1,0,0,1,0,0,20151012,20151225
1763,1,1,1,1,1,0,0,20150907,20151231
1764,0,0,0,0,0,1,0,20150912,20151226
1765,0,0,0,0,0,0,1,20150913,20151227
1766,1,1,0,0,1,0,0,20151012,20151225
1767,1,1,1,1,1,0,0,20150907,20151231
1768,0,0,0,0,0,1,0,20150912,20151226
