trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
0505,07:24:00,07:24:00,160,1,,0,0,
0505,07:44:00,07:44:00,161,2,,0,0,
0505-1,07:44:00,07:44:00,160,1,,0,0,
0505-1,08:04:00,08:04:00,161,2,,0,0,
0505-1634,07:24:00,07:24:00,160,1,,0,0,
0505-1634,07:44:00,07:44:00,161,2,,0,0,
0505-1635,07:24:00,07:24:00,160,1,,0,0,
0505-1635,07:44:00,07:44:00,161,2,,0,0,
0505-2,07:57:00,07:57:00,160,1,,0,0,
0505-2,08:17:00,08:17:00,161,2,,0,0,
0505-3,08:24:00,08:24:00,160,1,,0,0,
0505-3,08:44:00,08:44:00,161,2,,0,0,
0505-4,08:44:00,08:44:00,160,1,,0,0,
0505-4,09:04:00,09:04:00,161,2,,0,0,
0505-5,08:57:00,08:57:00,160,1,,0,0,
0505-5,09:17:00,09:17:00,161,2,,0,0,
0505-6,09:24:00,09:24:00,160,1,,0,0,
0505-6,09:44:00,09:44:00,161,2,,0,0,
0506,07:44:00,07:44:00,160,1,,0,0,
0506,08:04:00,08:04:00,161,2,,0,0,
0506-1,07:57:00,07:57:00,160,1,,0,0,
0506-1,08:17:00,08:17:00,161,2,,0,0,
0506-1635,07:44:00,07:44:00,160,1,,0,0,
0506-1635,08:04:00,08:04:00,161,2,,0,0,
0506-2,08:24:00,08:24:00,160,1,,0,0,
0506-2,08:44:00,08:44:00,161,2,,0,0,
0506-3,08:44:00,08:44:00,160,1,,0,0,
0506-3,09:04:00,09:04:00,161,2,,0,0,
0506-4,08:57:00,08:57:00,160,1,,0,0,
0506-4,09:17:00,09:17:00,161,2,,0,0,
0506-5,09:24:00,09:24:00,160,1,,0,0,
0506-5,09:44:00,09:44:00,161,2,,0,0,
0507,07:57:00,07:57:00,160,1,,0,0,
0507,08:17:00,08:17:00,161,2,,0,0,
0507-1,08:24:00,08:24:00,160,1,,0,0,
0507-1,08:44:00,08:44:00,161,2,,0,0,
0507-2,08:44:00,08:44:00,160,1,,0,0,
0507-2,09:04:00,09:04:00,161,2,,0,0,
0507-3,08:57:00,08:57:00,160,1,,0,0,
0507-3,09:17:00,09:17:00,161,2,,0,0,
0507-4,09:24:00,09:24:00,160,1,,0,0,
0507-4,09:44:00,09:44:00,161,2,,0,0,
0512,13:10:00,13:10:00,161,1,,0,0,
0512,13:30:00,13:30:00,160,2,,0,0,
0512-1,13:40:00,13:40:00,161,1,,0,0,
0512-1,14:00:00,14:00:00,160,2,,0,0,
0512-1634,16:10:00,16:10:00,161,1,,0,0,
0512-1634,16:30:00,16:30:00,160,2,,0,0,
0512-1635,13:10:00,13:10:00,161,1,,0,0,
0512-1635,13:30:00,13:30:00,160,2,,0,0,
0512-2,14:10:00,14:10:00,161,1,,0,0,
0512-2,14:30:00,14:30:00,160,2,,0,0,
0512-3,14:40:00,14:40:00,161,1,,0,0,
0512-3,15:00:00,15:00:00,160,2,,0,0,
0513,16:40:00,16:40:00,161,1,,0,0,
0513,17:00:00,17:00:00,160,2,,0,0,
0513-1,17:10:00,17:10:00,161,1,,0,0,
0513-1,17:30:00,17:30:00,160,2,,0,0,
0513-1635,13:40:00,13:40:00,161,1,,0,0,
0513-1635,14:00:00,14:00:00,160,2,,0,0,
0513-2,17:40:00,17:40:00,161,1,,0,0,
0513-2,18:00:00,18:00:00,160,2,,0,0,
0513-3,18:10:00,18:10:00,161,1,,0,0,
0513-3,18:30:00,18:30:00,160,2,,0,0,
0513-4,18:40:00,18:40:00,161,1,,0,0,
0513-4,19:00:00,19:00:00,160,2,,0,0,
0513-5,19:10:00,19:10:00,161,1,,0,0,
0513-5,19:30:00,19:30:00,160,2,,0,0,
0513-6,19:40:00,19:40:00,161,1,,0,0,
0513-6,20:00:00,20:00:00,160,2,,0,0,
0514,14:10:00,14:10:00,161,1,,0,0,
0514,14:30:00,14:30:00,160,2,,0,0,
0514-1,14:40:00,14:40:00,161,1,,0,0,
0514-1,15:00:00,15:00:00,160,2,,0,0,
1000,07:21:00,07:21:00,107,1,,0,0,
1000,07:32:00,07:32:00,151,2,,0,0,
1000,07:35:00,07:35:00,91,3,,0,0,
1000,07:39:00,07:39:00,147,4,,0,0,
1000,07:41:00,07:41:00,97,5,,0,0,
1000,07:48:00,07:48:00,102,6,,0,0,
1000,07:53:00,07:53:00,80,7,,0,0,
1000,07:58:00,07:58:00,119,8,,0,0,
1000,08:01:00,08:01:00,90,9,,0,0,
1000,08:04:00,08:04:00,149,10,,0,0,
1000,08:07:00,08:07:00,152,11,,0,0,
1000,08:11:00,08:11:00,82,12,,0,0,
1000,08:13:00,08:13:00,109,13,,0,0,
1000,08:16:00,08:16:00,93,14,,0,0,
1000,08:20:00,08:20:00,89,15,,0,0,
1000-1,08:21:00,08:21:00,107,1,,0,0,
1000-1,08:32:00,08:32:00,151,2,,0,0,
1000-1,08:35:00,08:35:00,91,3,,0,0,
1000-1,08:39:00,08:39:00,147,4,,0,0,
1000-1,08:41:00,08:41:00,97,5,,0,0,
1000-1,08:48:00,08:48:00,102,6,,0,0,
1000-1,08:53:00,08:53:00,80,7,,0,0,
1000-1,08:58:00,08:58:00,119,8,,0,0,
1000-1,09:01:00,09:01:00,90,9,,0,0,
1000-1,09:04:00,09:04:00,149,10,,0,0,
1000-1,09:07:00,09:07:00,152,11,,0,0,
1000-1,09:11:00,09:11:00,82,12,,0,0,
1000-1,09:13:00,09:13:00,109,13,,0,0,
1000-1,09:16:00,09:16:00,93,14,,0,0,
1000-1,09:20:00,09:20:00,89,15,,0,0,
1000-10,17:21:00,17:21:00,107,1,,0,0,
1000-10,17:32:00,17:32:00,151,2,,0,0,
1000-10,17:35:00,17:35:00,91,3,,0,0,
1000-10,17:39:00,17:39:00,147,4,,0,0,
1000-10,17:41:00,17:41:00,97,5,,0,0,
1000-10,17:48:00,17:48:00,102,6,,0,0,
1000-10,17:53:00,17:53:00,80,7,,0,0,
1000-10,17:58:00,17:58:00,119,8,,0,0,
1000-10,18:01:00,18:01:00,90,9,,0,0,
1000-10,18:04:00,18:04:00,149,10,,0,0,
1000-10,18:07:00,18:07:00,152,11,,0,0,
1000-10,18:11:00,18:11:00,82,12,,0,0,
1000-10,18:13:00,18:13:00,109,13,,0,0,
1000-10,18:16:00,18:16:00,93,14,,0,0,
1000-10,18:20:00,18:20:00,89,15,,0,0,
1000-11,18:21:00,18:21:00,107,1,,0,0,
1000-11,18:32:00,18:32:00,151,2,,0,0,
1000-11,18:35:00,18:35:00,91,3,,0,0,
1000-11,18:39:00,18:39:00,147,4,,0,0,
1000-11,18:41:00,18:41:00,97,5,,0,0,
1000-11,18:48:00,18:48:00,102,6,,0,0,
1000-11,18:53:00,18:53:00,80,7,,0,0,
1000-11,18:58:00,18:58:00,119,8,,0,0,
1000-11,19:01:00,19:01:00,90,9,,0,0,
1000-11,19:04:00,19:04:00,149,10,,0,0,
1000-11,19:07:00,19:07:00,152,11,,0,0,
1000-11,19:11:00,19:11:00,82,12,,0,0,
1000-11,19:13:00,19:13:00,109,13,,0,0,
1000-11,19:16:00,19:16:00,93,14,,0,0,
1000-11,19:20:00,19:20:00,89,15,,0,0,
1000-12,19:21:00,19:21:00,107,1,,0,0,
1000-12,19:32:00,19:32:00,151,2,,0,0,
1000-12,19:35:00,19:35:00,91,3,,0,0,
1000-12,19:39:00,19:39:00,147,4,,0,0,
1000-12,19:41:00,19:41:00,97,5,,0,0,
1000-12,19:48:00,19:48:00,102,6,,0,0,
1000-12,19:53:00,19:53:00,80,7,,0,0,
1000-12,19:58:00,19:58:00,119,8,,0,0,
1000-12,20:01:00,20:01:00,90,9,,0,0,
1000-12,20:04:00,20:04:00,149,10,,0,0,
1000-12,20:07:00,20:07:00,152,11,,0,0,
1000-12,20:11:00,20:11:00,82,12,,0,0,
1000-12,20:13:00,20:13:00,109,13,,0,0,
1000-12,20:16:00,20:16:00,93,14,,0,0,
1000-12,20:20:00,20:20:00,89,15,,0,0,
1000-13,20:21:00,20:21:00,107,1,,0,0,
1000-13,20:32:00,20:32:00,151,2,,0,0,
1000-13,20:35:00,20:35:00,91,3,,0,0,
1000-13,20:39:00,20:39:00,147,4,,0,0,
1000-13,20:41:00,20:41:00,97,5,,0,0,
1000-13,20:48:00,20:48:00,102,6,,0,0,
1000-13,20:53:00,20:53:00,80,7,,0,0,
1000-13,20:58:00,20:58:00,119,8,,0,0,
1000-13,21:01:00,21:01:00,90,9,,0,0,
1000-13,21:04:00,21:04:00,149,10,,0,0,
1000-13,21:07:00,21:07:00,152,11,,0,0,
1000-13,21:11:00,21:11:00,82,12,,0,0,
1000-13,21:13:00,21:13:00,109,13,,0,0,
1000-13,21:16:00,21:16:00,93,14,,0,0,
1000-13,21:20:00,21:20:00,89,15,,0,0,
1000-14,21:21:00,21:21:00,107,1,,0,0,
1000-14,21:32:00,21:32:00,151,2,,0,0,
1000-14,21:35:00,21:35:00,91,3,,0,0,
1000-14,21:39:00,21:39:00,147,4,,0,0,
1000-14,21:41:00,21:41:00,97,5,,0,0,
1000-14,21:48:00,21:48:00,102,6,,0,0,
1000-14,21:53:00,21:53:00,80,7,,0,0,
1000-14,21:58:00,21:58:00,119,8,,0,0,
1000-14,22:01:00,22:01:00,90,9,,0,0,
1000-14,22:04:00,22:04:00,149,10,,0,0,
1000-14,22:07:00,22:07:00,152,11,,0,0,
1000-14,22:11:00,22:11:00,82,12,,0,0,
1000-14,22:13:00,22:13:00,109,13,,0,0,
1000-14,22:16:00,22:16:00,93,14,,0,0,
1000-14,22:20:00,22:20:00,89,15,,0,0,
1000-15,07:51:00,07:51:00,107,1,,0,0,
1000-15,08:02:00,08:02:00,151,2,,0,0,
1000-15,08:05:00,08:05:00,91,3,,0,0,
1000-15,08:09:00,08:09:00,147,4,,0,0,
