trip_id,stop_sequence,arrival_time,departure_time,stop_id
22423,12,07:23:46,07:24:16,13.0
22822,11,07:23:48,07:24:03,18.0
22416,8,07:23:52,07:24:07,21.0
22841,23,07:23:53,07:24:18,6.0
22849,2,07:23:55,07:24:10,3.0
22480,9,07:23:56,07:24:21,34.0
22620,14,07:23:58,07:24:23,11.0
22640,6,07:23:58,07:24:23,5.0
22993,24,07:23:59,07:24:09,41.0
22871,5,07:24:19,07:24:39,24.0
22532,21,07:24:20,07:24:45,4.0
22880,6,07:24:26,07:24:46,37.0
22479,19,07:24:28,07:24:43,38.0
22954,18,07:24:32,07:24:52,35.0
22698,20,07:24:33,07:24:58,9.0
22664,6,07:24:37,07:25:02,7.0
22986,17,07:24:43,07:25:08,12.0
22413,21,07:24:44,07:24:59,22.0
22934,13,07:24:44,07:25:09,12.0
22742,3,07:24:47,07:25:02,2.0
22530,27,07:24:50,07:25:05,2.0
22720,13,07:24:55,07:25:20,32.0
22555,10,07:24:55,07:25:20,9.0
22510,18,07:24:56,07:25:21,19.0
22721,18,07:24:58,07:25:23,7.0
22438,3,07:25:11,07:25:21,40.0
22849,3,07:25:11,07:25:36,4.0
22822,12,07:25:16,07:25:31,17.0
22591,27,07:25:28,07:25:43,28.0
22923,12,07:25:28,07:25:53,13.0
22762,10,07:25:30,07:25:55,11.0
22416,9,07:25:33,07:25:48,20.0
22841,24,07:25:34,07:25:59,5.0
22480,10,07:25:36,07:25:51,33.0
22901,1,07:25:45,07:26:00,51.0
22640,7,07:25:45,07:26:10,6.0
22620,15,07:25:48,07:26:13,10.0
22871,6,07:25:49,07:26:14,23.0
22532,22,07:25:52,07:26:07,3.0
22664,7,07:25:52,07:26:17,8.0
22479,20,07:25:53,07:26:08,39.0
22409,3,07:25:57,07:26:12,26.0
22993,25,07:25:58,07:26:08,42.0
22786,15,07:25:59,07:26:14,14.0
22698,21,07:26:09,07:26:34,8.0
22954,19,07:26:10,07:26:20,36.0
22423,13,07:26:13,07:26:28,14.0
22555,11,07:26:14,07:26:39,10.0
22934,14,07:26:16,07:26:46,13.0
22597,1,07:26:16,07:26:31,42.0
22880,7,07:26:18,07:26:28,36.0
22413,22,07:26:18,07:26:43,23.0
22721,19,07:26:23,07:26:48,6.0
22742,4,07:26:25,07:26:40,3.0
22822,13,07:26:26,07:26:41,16.0
22986,18,07:26:28,07:26:53,11.0
22849,4,07:26:28,07:26:53,5.0
22438,4,07:26:31,07:26:46,39.0
22774,1,07:26:46,07:26:56,28.0
22510,19,07:26:46,07:27:01,20.0
22720,14,07:26:48,07:27:03,33.0
22841,25,07:26:50,07:27:15,4.0
22620,16,07:27:03,07:27:28,9.0
22416,10,07:27:06,07:27:31,19.0
22640,8,07:27:07,07:27:32,7.0
22480,11,07:27:11,07:27:36,32.0
22923,13,07:27:13,07:27:38,12.0
22762,11,07:27:14,07:27:39,12.0
23013,1,07:27:17,07:27:32,2.0
22479,21,07:27:18,07:27:33,40.0
22532,23,07:27:20,07:27:35,2.0
22664,8,07:27:25,07:27:50,9.0
22698,22,07:27:28,07:27:53,7.0
22871,7,07:27:33,07:27:48,22.0
22901,2,07:27:33,07:27:43,1.0
22742,5,07:27:41,07:28:06,4.0
22880,8,07:27:44,07:28:04,35.0
22954,20,07:27:48,07:28:08,37.0
22413,23,07:27:54,07:28:14,24.0
22438,5,07:27:57,07:28:12,38.0
22786,16,07:27:58,07:28:23,13.0
22555,12,07:28:00,07:28:25,11.0
22721,20,07:28:04,07:28:29,5.0
22849,5,07:28:15,07:28:40,6.0
22720,15,07:28:15,07:28:40,34.0
22986,19,07:28:18,07:28:43,10.0
22841,26,07:28:22,07:28:37,3.0
22423,14,07:28:22,07:28:42,15.0
22640,9,07:28:22,07:28:47,8.0
22510,20,07:28:25,07:28:40,21.0
22597,2,07:28:26,07:28:41,41.0
22822,14,07:28:36,07:28:56,15.0
22620,17,07:28:39,07:29:04,8.0
22774,2,07:28:43,07:28:58,27.0
22664,9,07:28:44,07:29:09,10.0
22762,12,07:28:46,07:29:16,13.0
22416,11,07:28:48,07:29:03,18.0
22871,8,07:28:52,07:29:07,21.0
22698,23,07:28:53,07:29:18,6.0
23013,2,07:28:55,07:29:10,3.0
22880,9,07:28:56,07:29:21,34.0
22742,6,07:28:58,07:29:23,5.0
22923,14,07:28:58,07:29:23,11.0
22479,22,07:28:59,07:29:09,41.0
22409,5,07:29:19,07:29:39,24.0
22721,21,07:29:20,07:29:45,4.0
22438,6,07:29:26,07:29:46,37.0
22954,21,07:29:28,07:29:43,38.0
22720,16,07:29:32,07:29:52,35.0
22986,20,07:29:33,07:29:58,9.0
22849,6,07:29:37,07:30:02,7.0
22532,24,07:29:42,07:29:52,1.0
22786,17,07:29:43,07:30:08,12.0
22555,13,07:29:44,07:30:09,12.0
22510,21,07:29:44,07:29:59,22.0
22901,3,07:29:47,07:30:02,2.0
22841,27,07:29:50,07:30:05,2.0
22640,10,07:29:55,07:30:20,9.0
22934,15,07:29:55,07:30:20,32.0
22620,18,07:29:58,07:30:23,7.0
23013,3,07:30:11,07:30:36,4.0
22597,3,07:30:11,07:30:21,40.0
22416,12,07:30:16,07:30:31,17.0
22480,12,07:30:28,07:30:53,13.0
22664,10,07:30:30,07:30:55,11.0
22871,9,07:30:33,07:30:48,20.0
22423,15,07:30:33,07:30:48,16.0
22698,24,07:30:34,07:30:59,5.0
22880,10,07:30:36,07:30:51,33.0
22789,1,07:30:45,07:31:00,51.0
22742,7,07:30:45,07:31:10,6.0
22923,15,07:30:48,07:31:13,10.0
22409,6,07:30:49,07:31:14,23.0
22721,22,07:30:52,07:31:07,3.0
22849,7,07:30:52,07:31:17,8.0
22954,22,07:30:53,07:31:08,39.0
22774,3,07:30:57,07:31:12,26.0
22479,23,07:30:58,07:31:08,42.0
22822,15,07:30:59,07:31:14,14.0
22986,21,07:31:09,07:31:34,8.0
22720,17,07:31:10,07:31:20,36.0
22762,13,07:31:13,07:31:28,14.0
22532,25,07:31:13,07:31:23,51.0
22640,11,07:31:14,07:31:39,10.0
22413,25,07:31:15,07:31:30,26.0
22555,14,07:31:16,07:31:46,13.0
22994,1,07:31:16,07:31:31,42.0
22510,22,07:31:18,07:31:43,23.0
22438,7,07:31:18,07:31:28,36.0
22620,19,07:31:23,07:31:48,6.0
22901,4,07:31:25,07:31:40,3.0
22416,13,07:31:26,07:31:41,16.0
22786,18,07:31:28,07:31:53,11.0
23013,4,07:31:28,07:31:53,5.0
22597,4,07:31:31,07:31:46,39.0
22590,1,07:31:46,07:31:56,28.0
22934,16,07:31:48,07:32:03,33.0
22698,25,07:31:50,07:32:15,4.0
22423,16,07:32:00,07:32:15,17.0
22923,16,07:32:03,07:32:28,9.0
22871,10,07:32:06,07:32:31,19.0
22742,8,07:32:07,07:32:32,7.0
22880,11,07:32:11,07:32:36,32.0
22480,13,07:32:13,07:32:38,12.0
22664,11,07:32:14,07:32:39,12.0
22521,1,07:32:17,07:32:32,2.0
22954,23,07:32:18,07:32:33,40.0
22721,23,07:32:20,07:32:35,2.0
22849,8,07:32:25,07:32:50,9.0
22986,22,07:32:28,07:32:53,7.0
22789,2,07:32:33,07:32:43,1.0
22409,7,07:32:33,07:32:48,22.0
22901,5,07:32:41,07:33:06,4.0
22438,8,07:32:44,07:33:04,35.0
22720,18,07:32:48,07:33:08,37.0
22510,23,07:32:54,07:33:14,24.0
22597,5,07:32:57,07:33:12,38.0
22822,16,07:32:58,07:33:23,13.0
22640,12,07:33:00,07:33:25,11.0
22620,20,07:33:04,07:33:29,5.0
22934,17,07:33:15,07:33:40,34.0
23013,5,07:33:15,07:33:40,6.0
22530,26,07:23:22,07:23:37,3.0
22555,9,07:23:22,07:23:47,8.0
22413,20,07:23:25,07:23:40,21.0
22438,2,07:23:26,07:23:41,41.0
22591,26,07:23:27,07:23:42,27.0
22510,17,07:23:32,07:23:47,18.0
22786,14,07:23:36,07:23:56,15.0
22721,17,07:23:39,07:24:04,8.0
22788,29,07:23:43,07:23:53,51.0
22409,2,07:23:43,07:23:58,27.0
22762,9,07:23:44,07:24:09,10.0
22786,19,07:33:18,07:33:43,10.0
22762,14,07:33:22,07:33:42,15.0
22698,26,07:33:22,07:33:37,3.0
