service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1587,1,1,1,1,0,0,0,20140701,20140904
1588,0,0,0,0,1,0,0,20140704,20140905
1589,0,0,0,0,0,1,0,20140705,20140906
1590,0,0,0,0,0,0,1,20140706,20140907
1591,0,0,0,0,1,0,0,20140725,20140815
1592,0,0,0,1,0,0,0,20140731,20140731
1604,1,1,1,1,1,0,1,20140622,20140905
1605,0,0,0,0,0,1,0,20140628,20140906
1606,0,0,0,0,0,0,1,20140629,20140907
1608,0,0,0,1,1,0,0,20140725,20140815
1618,1,1,1,1,1,0,0,20140623,20140905
1620,0,0,0,0,0,1,1,20140628,20140907
1621,1,1,1,1,1,0,0,20140623,20140905
1622,0,0,0,0,0,1,1,20140104,20141228
1623,0,1,0,0,1,1,0,20140103,20141227
1624,0,0,0,1,1,0,0,20140102,20141226
1625,1,1,1,1,0,0,1,20140105,20141231
1626,0,0,0,1,0,0,0,20140403,20140501
1627,1,0,1,1,1,0,1,20140101,20160101
1629,0,0,0,0,0,0,1,20140112,20141228
1630,1,1,1,1,1,0,0,20140107,20141231
1631,0,0,0,0,0,1,0,20140111,20141227
1632,1,0,0,1,1,1,0,20140106,20141225
1634,1,1,1,1,0,0,0,20140908,20141231
1635,0,0,0,0,1,0,0,20140912,20141226
1636,1,1,1,1,1,0,0,20140908,20141231
1637,1,0,0,1,0,1,1,20140913,20141228
1702,0,1,0,0,0,0,0,20160712,20160802
1703,0,0,0,0,0,0,1,20160731,20160731
1704,0,0,1,1,1,1,1,20160701,20160821
1705,1,0,0,0,0,0,0,20160711,20160905
1762,1,0,0,1,1,0,0,20160324,20160328
1763,1,1,1,1,1,0,0,20160104,20160630
1764,0,0,0,0,0,1,0,20160109,20160611
1765,0,0,0,0,0,0,1,20160103,20160612
1766,1,0,0,1,1,0,0,20160101,20160328
1768,0,0,0,0,0,1,0,20160102,20160611
1772,0,0,0,0,0,0,1,20160103,20160626
1872,1,1,1,1,1,0,0,20160104,20160610
