trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
0001,7:21:00,7:21:00,158,1,,0,0,
0001,7:23:00,7:23:00,159,2,,0,0,
0001-1,7:39:00,7:39:00,158,1,,0,0,
0001-1,7:42:00,7:42:00,159,2,,0,0,
0001-10,9:51:00,9:51:00,158,1,,0,0,
0001-10,9:54:00,9:54:00,159,2,,0,0,
0001-11,10:09:00,10:09:00,158,1,,0,0,
0001-11,10:12:00,10:12:00,159,2,,0,0,
0001-12,10:21:00,10:21:00,158,1,,0,0,
0001-12,10:24:00,10:24:00,159,2,,0,0,
0001-13,10:51:00,10:51:00,158,1,,0,0,
0001-13,10:54:00,10:54:00,159,2,,0,0,
0001-14,11:09:00,11:09:00,158,1,,0,0,
0001-14,11:12:00,11:12:00,159,2,,0,0,
0001-15,11:21:00,11:21:00,158,1,,0,0,
0001-15,11:24:00,11:24:00,159,2,,0,0,
0001-16,11:39:00,11:39:00,158,1,,0,0,
0001-16,11:42:00,11:42:00,159,2,,0,0,
0001-1636,7:21:00,7:21:00,158,1,,0,0,
0001-1636,7:23:00,7:23:00,159,2,,0,0,
0001-17,11:51:00,11:51:00,158,1,,0,0,
0001-17,11:54:00,11:54:00,159,2,,0,0,
0001-18,12:09:00,12:09:00,158,1,,0,0,
0001-18,12:12:00,12:12:00,159,2,,0,0,
0001-19,12:21:00,12:21:00,158,1,,0,0,
0001-19,12:24:00,12:24:00,159,2,,0,0,
0001-2,7:51:00,7:51:00,158,1,,0,0,
0001-2,7:54:00,7:54:00,159,2,,0,0,
0001-20,12:39:00,12:39:00,158,1,,0,0,
0001-20,12:42:00,12:42:00,159,2,,0,0,
0001-21,12:51:00,12:51:00,158,1,,0,0,
0001-21,12:54:00,12:54:00,159,2,,0,0,
0001-22,13:09:00,13:09:00,158,1,,0,0,
0001-22,13:12:00,13:12:00,159,2,,0,0,
0001-23,13:21:00,13:21:00,158,1,,0,0,
0001-23,13:24:00,13:24:00,159,2,,0,0,
0001-24,13:39:00,13:39:00,158,1,,0,0,
0001-24,13:42:00,13:42:00,159,2,,0,0,
0001-25,13:51:00,13:51:00,158,1,,0,0,
0001-25,13:54:00,13:54:00,159,2,,0,0,
0001-26,14:09:00,14:09:00,158,1,,0,0,
0001-26,14:12:00,14:12:00,159,2,,0,0,
0001-27,14:39:00,14:39:00,158,1,,0,0,
0001-27,14:42:00,14:42:00,159,2,,0,0,
0001-28,14:39:00,14:39:00,158,1,,0,0,
0001-28,14:42:00,14:42:00,159,2,,0,0,
0001-29,15:00:00,15:00:00,158,1,,0,0,
0001-29,15:03:00,15:03:00,159,2,,0,0,
0001-3,8:09:00,8:09:00,158,1,,0,0,
0001-3,8:12:00,8:12:00,159,2,,0,0,
0001-30,15:09:00,15:09:00,158,1,,0,0,
0001-30,15:12:00,15:12:00,159,2,,0,0,
0001-31,15:21:00,15:21:00,158,1,,0,0,
0001-31,15:24:00,15:24:00,159,2,,0,0,
0001-32,15:39:00,15:39:00,158,1,,0,0,
0001-32,15:42:00,15:42:00,159,2,,0,0,
0001-33,15:51:00,15:51:00,158,1,,0,0,
0001-33,15:54:00,15:54:00,159,2,,0,0,
0001-34,16:09:00,16:09:00,158,1,,0,0,
0001-34,16:12:00,16:12:00,159,2,,0,0,
0001-35,16:21:00,16:21:00,158,1,,0,0,
0001-35,16:24:00,16:24:00,159,2,,0,0,
0001-36,16:39:00,16:39:00,158,1,,0,0,
0001-36,16:42:00,16:42:00,159,2,,0,0,
0001-37,16:51:00,16:51:00,158,1,,0,0,
0001-37,16:54:00,16:54:00,159,2,,0,0,
