route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
6,1618,0505,ZAMUDIOKO PARKE TEKNOLOGIKOA,,
6,1618,0505-1,ZAMUDIOKO PARKE TEKNOLOGIKOA,,
6,1634,0505-1634,ZAMUDIOKO PARKE TEKNOLOGIKOA,,
6,1635,0505-1635,ZAMUDIOKO PARKE TEKNOLOGIKOA,,
6,1618,0505-2,ZAMUDIOKO PARKE TEKNOLOGIKOA,,
6,1618,0505-3,ZAMUDIOKO PARKE TEKNOLOGIKOA,,
6,1618,0505-4,ZAMUDIOKO PARKE TEKNOLOGIKOA,,
6,1618,0505-5,ZAMUDIOKO PARKE TEKNOLOGIKOA,,
6,1618,0505-6,ZAMUDIOKO PARKE TEKNOLOGIKOA,,
6,1634,0506,ZAMUDIOKO PARKE TEKNOLOGIKOA,,
6,1634,0506-1,ZAMUDIOKO PARKE TEKNOLOGIKOA,,
6,1635,0506-1635,ZAMUDIOKO PARKE TEKNOLOGIKOA,,
6,1634,0506-2,ZAMUDIOKO PARKE TEKNOLOGIKOA,,
6,1634,0506-3,ZAMUDIOKO PARKE TEKNOLOGIKOA,,
6,1634,0506-4,ZAMUDIOKO PARKE TEKNOLOGIKOA,,
6,1634,0506-5,ZAMUDIOKO PARKE TEKNOLOGIKOA,,
6,1635,0507,ZAMUDIOKO PARKE TEKNOLOGIKOA,,
6,1635,0507-1,ZAMUDIOKO PARKE TEKNOLOGIKOA,,
6,1635,0507-2,ZAMUDIOKO PARKE TEKNOLOGIKOA,,
6,1635,0507-3,ZAMUDIOKO PARKE TEKNOLOGIKOA,,
6,1635,0507-4,ZAMUDIOKO PARKE TEKNOLOGIKOA,,
6,1618,0512,ZAMUDIO,,
6,1618,0512-1,ZAMUDIO,,
6,1634,0512-1634,ZAMUDIO,,
6,1635,0512-1635,ZAMUDIO,,
6,1618,0512-2,ZAMUDIO,,
6,1618,0512-3,ZAMUDIO,,
6,1634,0513,ZAMUDIO,,
6,1634,0513-1,ZAMUDIO,,
6,1635,0513-1635,ZAMUDIO,,
6,1634,0513-2,ZAMUDIO,,
6,1634,0513-3,ZAMUDIO,,
6,1634,0513-4,ZAMUDIO,,
6,1634,0513-5,ZAMUDIO,,
6,1634,0513-6,ZAMUDIO,,
6,1635,0514,ZAMUDIO,,
6,1635,0514-1,ZAMUDIO,,
1,1587,1000,ATXURI,,
1,1587,1000-1,ATXURI,,
1,1587,1000-10,ATXURI,,
1,1587,1000-11,ATXURI,,
1,1587,1000-12,ATXURI,,
1,1587,1000-13,ATXURI,,
1,1587,1000-14,ATXURI,,
1,1587,1000-15,ATXURI,,
1,1588,1000-1588,ATXURI,,
1,1587,1000-16,ATXURI,,
1,1604,1000-1604,ERMUA,,
1,1624,1000-1624,ATXURI,,
1,1625,1000-1625,ATXURI,,
1,1630,1000-1630,ERMUA,,
1,1587,1000-17,ATXURI,,
1,1704,1000-1704,ERMUA,,
1,1716,1000-1716,ATXURI,,
1,1719,1000-1719,ATXURI,,
1,1758,1000-1758,ATXURI,,
1,1759,1000-1759,ATXURI,,
1,1763,1000-1763,ATXURI,,
1,1767,1000-1767,ERMUA,,
1,1587,1000-18,ATXURI,,
1,1587,1000-19,ATXURI,,
1,1587,1000-2,ATXURI,,
1,1587,1000-20,ATXURI,,
1,1587,1000-21,ATXURI,,
1,1587,1000-22,ATXURI,,
1,1587,1000-23,ATXURI,,
1,1587,1000-24,ATXURI,,
1,1587,1000-25,ATXURI,,
1,1587,1000-26,ATXURI,,
1,1587,1000-27,ATXURI,,
1,1587,1000-28,ATXURI,,
1,1587,1000-3,ATXURI,,
1,1587,1000-4,ATXURI,,
1,1587,1000-5,ATXURI,,
1,1587,1000-6,ATXURI,,
1,1587,1000-7,ATXURI,,
1,1587,1000-8,ATXURI,,
1,1587,1000-9,ATXURI,,
1,1587,1001,ERMUA,,
1,1587,1001-1,ERMUA,,
1,1588,1001-1588,ERMUA,,
1,1604,1001-1604,AMARA,,
1,1624,1001-1624,ERMUA,,
1,1625,1001-1625,ERMUA,,
1,1630,1001-1630,AMARA,,
1,1704,1001-1704,AMARA,,
1,1716,1001-1716,ERMUA,,
