trip_id,stop_sequence,arrival_time,departure_time,stop_id
41191,12,14:45:07,14:45:22,16.0
40957,16,14:45:10,14:45:35,10.0
41267,19,14:45:13,14:45:28,20.0
41183,26,14:45:14,14:45:29,27.0
41281,5,14:45:15,14:45:40,4.0
41392,3,14:45:16,14:45:26,40.0
40907,13,14:45:18,14:45:43,12.0
41212,5,14:45:19,14:45:44,6.0
40926,1,14:45:21,14:45:36,2.0
40982,7,14:45:28,14:45:38,36.0
41066,11,14:45:29,14:45:54,32.0
40880,23,14:45:31,14:45:51,24.0
41001,25,14:45:40,14:45:50,51.0
41029,16,14:45:50,14:46:15,13.0
41424,2,14:46:06,14:46:16,1.0
41085,22,14:46:14,14:46:29,3.0
41373,6,14:46:15,14:46:40,23.0
41327,16,14:46:19,14:46:34,17.0
41134,14,14:46:20,14:46:45,11.0
41248,18,14:46:20,14:46:45,7.0
41107,13,14:46:21,14:46:36,14.0
41340,16,14:46:24,14:46:39,33.0
40957,17,14:46:25,14:46:50,9.0
41297,23,14:46:26,14:46:51,5.0
41511,20,14:46:27,14:46:47,37.0
41044,10,14:46:29,14:46:54,9.0
41281,6,14:46:32,14:46:57,5.0
41153,10,14:46:34,14:46:59,11.0
41392,4,14:46:37,14:46:52,39.0
41452,24,14:46:40,14:46:50,41.0
40943,7,14:46:41,14:47:06,19.0
41212,6,14:46:41,14:47:06,7.0
40907,14,14:46:50,14:47:20,13.0
41267,20,14:46:55,14:47:10,21.0
40982,8,14:46:56,14:47:16,35.0
40926,2,14:46:59,14:47:14,3.0
41533,2,14:47:16,14:47:31,26.0
41227,1,14:47:17,14:47:32,42.0
41183,27,14:47:19,14:47:34,28.0
41191,13,14:47:21,14:47:41,15.0
40880,24,14:47:26,14:47:41,25.0
41029,17,14:47:35,14:48:00,12.0
41297,24,14:47:42,14:48:07,4.0
41085,23,14:47:42,14:47:57,2.0
41248,19,14:47:45,14:48:10,6.0
41044,11,14:47:48,14:48:13,10.0
41340,17,14:47:52,14:48:17,34.0
41327,17,14:47:54,14:48:09,18.0
41212,7,14:47:56,14:48:21,8.0
41373,7,14:48:01,14:48:16,22.0
40957,18,14:48:01,14:48:26,8.0
41392,5,14:48:04,14:48:19,38.0
41511,21,14:48:08,14:48:23,38.0
40982,9,14:48:09,14:48:34,34.0
41134,15,14:48:10,14:48:35,10.0
40926,3,14:48:15,14:48:40,4.0
41267,21,14:48:16,14:48:31,22.0
41153,11,14:48:18,14:48:43,12.0
41281,7,14:48:19,14:48:44,6.0
41424,3,14:48:21,14:48:36,2.0
40943,8,14:48:25,14:48:40,18.0
41107,14,14:48:34,14:48:54,15.0
41452,25,14:48:40,14:48:50,42.0
41066,12,14:48:50,14:49:15,13.0
41533,3,14:48:52,14:49:07,25.0
41340,18,14:49:09,14:49:29,35.0
41297,25,14:49:14,14:49:29,3.0
41327,18,14:49:20,14:49:45,19.0
41029,18,14:49:20,14:49:45,11.0
